,Unnamed: 0,gm,make_model,make,mileage_raw,price_raw,model_trim_raw,year_make_raw,platform,mileage,price,model,trim,year,car_key,car_id_x,horsepower,torque,displacement,cylinders,top_speed,accel,qmile_time,qmile_speed,weight,fuel_type,fuel_economy,quality_rating,amenity_rating,reliability_rating,car_id_y
0,1,False,Mercedes-Benz C63 AMG,Mercedes-Benz,"13,000 miles",63998,C63 AMG,2021 Mercedes-Benz,carmax,13000,63998,C63 AMG,-,2021,2021-mercedes-benz-c63 amg--,169962526399295524114786929276035529503,503,516,4.0,8,174,3.8,12.0,118,1765,petrol,22,85,83,47,169962526399295524114786929276035529503
1,2,False,Mercedes-Benz C63 AMG,Mercedes-Benz,"29,000 miles",47998,C63 AMG,2019 Mercedes-Benz,carmax,29000,47998,C63 AMG,-,2019,2019-mercedes-benz-c63 amg--,333502209770601666188971592563865766441,469,479,4.0,8,174,3.9,12.3,118,1720,petrol,18,89,84,60,333502209770601666188971592563865766441
2,3,False,Mercedes-Benz C63 AMG,Mercedes-Benz,"70,000 miles",33998,C63 AMG,2016 Mercedes-Benz,carmax,70000,33998,C63 AMG,-,2016,2016-mercedes-benz-c63 amg--,2793621948840149966892463119152932027,469,479,4.0,8,174,3.9,12.3,118,1680,petrol,18,88,83,47,2793621948840149966892463119152932027
3,4,False,Mercedes-Benz C63 AMG,Mercedes-Benz,"18,000 miles",59998,C63 AMG S,2018 Mercedes-Benz,carmax,18000,59998,C63 AMG,S,2018,2018-mercedes-benz-c63 amg-s,94219878956263099775820655582464551438,503,516,4.0,8,174,3.8,12.0,118,1720,Petrol,18,86,80,48,94219878956263099775820655582464551438
4,5,False,Mercedes-Benz C63 AMG,Mercedes-Benz,"35,000 miles",45998,C63 AMG S,2018 Mercedes-Benz,carmax,35000,45998,C63 AMG,S,2018,2018-mercedes-benz-c63 amg-s,94219878956263099775820655582464551438,503,516,4.0,8,174,3.8,12.0,118,1720,Petrol,18,86,80,48,94219878956263099775820655582464551438
5,6,False,Mercedes-Benz C63 AMG,Mercedes-Benz,"14,000 miles",55998,C63 AMG S,2019 Mercedes-Benz,carmax,14000,55998,C63 AMG,S,2019,2019-mercedes-benz-c63 amg-s,155560967847961186592180063588023320797,503,516,4.0,8,180,3.8,12.0,118,1730,petrol,18,89,86,48,155560967847961186592180063588023320797
6,7,False,Mercedes-Benz C63 AMG,Mercedes-Benz,"51,000 miles",54998,C63 AMG S,2021 Mercedes-Benz,carmax,51000,54998,C63 AMG,S,2021,2021-mercedes-benz-c63 amg-s,30009612326940320544442775576528772094,503,516,4.0,8,174,3.8,12.0,120,1735,petrol,18,89,86,50,30009612326940320544442775576528772094
7,8,False,Mercedes-Benz C63 AMG,Mercedes-Benz,"27,000 miles",50998,C63 AMG S,2018 Mercedes-Benz,carmax,27000,50998,C63 AMG,S,2018,2018-mercedes-benz-c63 amg-s,94219878956263099775820655582464551438,503,516,4.0,8,174,3.8,12.0,118,1720,Petrol,18,86,80,48,94219878956263099775820655582464551438
8,9,False,Mercedes-Benz C63 AMG,Mercedes-Benz,"39,000 miles",57998,C63 AMG S,2021 Mercedes-Benz,carmax,39000,57998,C63 AMG,S,2021,2021-mercedes-benz-c63 amg-s,30009612326940320544442775576528772094,503,516,4.0,8,174,3.8,12.0,120,1735,petrol,18,89,86,50,30009612326940320544442775576528772094
9,10,False,Mercedes-Benz C63 AMG,Mercedes-Benz,"56,000 miles",42998,C63 AMG S,2020 Mercedes-Benz,carmax,56000,42998,C63 AMG,S,2020,2020-mercedes-benz-c63 amg-s,51488775112903712884063559652535912914,503,516,4.0,8,180,3.8,12.0,118,1735,petrol,18,89,88,48,51488775112903712884063559652535912914
10,11,False,Mercedes-Benz C63 AMG,Mercedes-Benz,"59,000 miles",40998,C63 AMG S,2017 Mercedes-Benz,carmax,59000,40998,C63 AMG,S,2017,2017-mercedes-benz-c63 amg-s,241266240036630283759667839557420338634,503,516,4.0,8,174,3.9,12.1,118,1720,Petrol,22,88,87,48,241266240036630283759667839557420338634
11,12,False,Mercedes-Benz C63 AMG,Mercedes-Benz,"26,000 miles",58998,C63 AMG S,2020 Mercedes-Benz,carmax,26000,58998,C63 AMG,S,2020,2020-mercedes-benz-c63 amg-s,51488775112903712884063559652535912914,503,516,4.0,8,180,3.8,12.0,118,1735,petrol,18,89,88,48,51488775112903712884063559652535912914
12,13,False,Mercedes-Benz C63 AMG,Mercedes-Benz,"12,000 miles",56998,C63 AMG S,2018 Mercedes-Benz,carmax,12000,56998,C63 AMG,S,2018,2018-mercedes-benz-c63 amg-s,94219878956263099775820655582464551438,503,516,4.0,8,174,3.8,12.0,118,1720,Petrol,18,86,80,48,94219878956263099775820655582464551438
13,14,False,Dodge Challenger,Dodge,"77,000 miles",15998,Challenger SXT,2013 Dodge,carmax,77000,15998,Challenger,SXT,2013,2013-dodge-challenger-sxt,250783180257965280736084137949845065838,303,268,3.6,6,130,5.8,14.5,98,1680,Petrol,22,68,48,74,250783180257965280736084137949845065838
14,15,False,Dodge Challenger,Dodge,"24,000 miles",19998,Challenger SXT Plus,2013 Dodge,carmax,24000,19998,Challenger,SXT Plus,2013,2013-dodge-challenger-sxt plus,28956807922673281206469693564945277676,301,268,3.6,6,130,5.8,14.2,99,1725,petrol,19,58,38,68,28956807922673281206469693564945277676
15,16,False,Dodge Durango,Dodge,"20,000 miles",39998,Durango GT,2024 Dodge,carmax,20000,39998,Durango,GT,2024,2024-dodge-durango-gt,321556716592598379867277866858627370642,295,260,3.6,6,118,6.5,15.0,94,2020,petrol,19,68,74,52,321556716592598379867277866858627370642
16,17,False,Dodge Durango,Dodge,"11,000 miles",34998,Durango GT,2025 Dodge,carmax,11000,34998,Durango,GT,2025,2025-dodge-durango-gt,65020351222036271895229060638285490529,295,260,3.6,6,120,6.6,15.1,96,2055,petrol,18,68,74,60,65020351222036271895229060638285490529
17,18,False,Dodge Durango,Dodge,"8,000 miles",37998,Durango GT,2025 Dodge,carmax,8000,37998,Durango,GT,2025,2025-dodge-durango-gt,65020351222036271895229060638285490529,295,260,3.6,6,120,6.6,15.1,96,2055,petrol,18,68,74,60,65020351222036271895229060638285490529
18,19,False,Dodge Durango,Dodge,"24,000 miles",36998,Durango GT Plus,2024 Dodge,carmax,24000,36998,Durango,GT Plus,2024,2024-dodge-durango-gt plus,20282666564548757058709739980391533618,295,260,3.6,6,118,7.4,15.8,93,2048,petrol,19,67,73,58,20282666564548757058709739980391533618
19,20,False,Dodge Durango,Dodge,"47,000 miles",31998,Durango GT Plus,2024 Dodge,carmax,47000,31998,Durango,GT Plus,2024,2024-dodge-durango-gt plus,20282666564548757058709739980391533618,295,260,3.6,6,118,7.4,15.8,93,2048,petrol,19,67,73,58,20282666564548757058709739980391533618
20,21,False,Dodge Durango,Dodge,"5,000 miles",39998,Durango GT Plus,2024 Dodge,carmax,5000,39998,Durango,GT Plus,2024,2024-dodge-durango-gt plus,20282666564548757058709739980391533618,295,260,3.6,6,118,7.4,15.8,93,2048,petrol,19,67,73,58,20282666564548757058709739980391533618
21,22,False,Dodge Durango,Dodge,"20,000 miles",35998,Durango GT Plus,2024 Dodge,carmax,20000,35998,Durango,GT Plus,2024,2024-dodge-durango-gt plus,20282666564548757058709739980391533618,295,260,3.6,6,118,7.4,15.8,93,2048,petrol,19,67,73,58,20282666564548757058709739980391533618
22,23,False,Dodge Durango,Dodge,"2,000 miles",42998,Durango GT Plus,2025 Dodge,carmax,2000,42998,Durango,GT Plus,2025,2025-dodge-durango-gt plus,339478236200923910223355845143096501222,295,260,3.6,6,118,7.0,15.5,98,2090,Petrol,19,68,78,52,339478236200923910223355845143096501222
23,24,False,Dodge Durango,Dodge,"6,000 miles",57998,Durango R/T 20th Anniversary Premium,2025 Dodge,carmax,6000,57998,Durango,R/T 20th Anniversary Premium,2025,2025-dodge-durango-r/t 20th anniversary premium,89921093069632655901469576939275512018,355,395,5.7,8,118,5.6,14.1,98,2200,Petrol,14,68,74,61,89921093069632655901469576939275512018
24,25,False,Dodge Durango,Dodge,"8,000 miles",44998,Durango R/T Plus,2024 Dodge,carmax,8000,44998,Durango,R/T Plus,2024,2024-dodge-durango-r/t plus,22063806238281559026760007240667372282,365,390,5.7,8,112,5.6,14.1,99,2041,petrol,14,67,76,59,22063806238281559026760007240667372282
25,26,False,Dodge Durango,Dodge,"5,000 miles",51998,Durango R/T Plus,2025 Dodge,carmax,5000,51998,Durango,R/T Plus,2025,2025-dodge-durango-r/t plus,104432224728578173866516550420620949244,365,390,5.7,8,130,5.6,14.0,100,2177,petrol,14,68,72,60,104432224728578173866516550420620949244
26,27,False,Dodge Durango,Dodge,"17,000 miles",63998,Durango SRT 392,2024 Dodge,carmax,17000,63998,Durango,SRT 392,2024,2024-dodge-durango-srt 392,236852597465018059044140759437543709041,468,470,6.4,8,140,4.1,12.6,115,2180,petrol,13,68,78,62,236852597465018059044140759437543709041
27,28,False,Ford Mustang,Ford,"90,000 miles",15998,Mustang,2013 Ford,carmax,90000,15998,Mustang,-,2013,2013-ford-mustang--,293243824410236907799640335432246812711,412,390,5.0,8,155,4.3,12.7,112,1630,petrol,19,67,48,68,293243824410236907799640335432246812711
28,29,False,Ford Mustang,Ford,"106,000 miles",14998,Mustang,2013 Ford,carmax,106000,14998,Mustang,-,2013,2013-ford-mustang--,293243824410236907799640335432246812711,412,390,5.0,8,155,4.3,12.7,112,1630,petrol,19,67,48,68,293243824410236907799640335432246812711
29,30,False,Ford Mustang,Ford,"45,000 miles",26998,Mustang GT,2013 Ford,carmax,45000,26998,Mustang,GT,2013,2013-ford-mustang-gt,145404129069282736831106275119762443141,406,390,5.0,8,155,4.4,12.8,112,1655,petrol,15,68,46,67,145404129069282736831106275119762443141
30,31,False,Ford Mustang,Ford,"77,000 miles",21998,Mustang GT,2013 Ford,carmax,77000,21998,Mustang,GT,2013,2013-ford-mustang-gt,145404129069282736831106275119762443141,406,390,5.0,8,155,4.4,12.8,112,1655,petrol,15,68,46,67,145404129069282736831106275119762443141
31,32,False,Ford Mustang,Ford,"21,000 miles",27998,Mustang GT,2013 Ford,carmax,21000,27998,Mustang,GT,2013,2013-ford-mustang-gt,145404129069282736831106275119762443141,406,390,5.0,8,155,4.4,12.8,112,1655,petrol,15,68,46,67,145404129069282736831106275119762443141
32,33,False,Ford Mustang,Ford,"75,000 miles",25998,Mustang GT Premium,2013 Ford,carmax,75000,25998,Mustang,GT Premium,2013,2013-ford-mustang-gt premium,273478886296771509153432707565619196926,406,390,5.0,8,155,4.4,12.9,110,1655,petrol,15,69,58,74,273478886296771509153432707565619196926
33,34,False,Ford Mustang,Ford,"110,000 miles",13998,Mustang Premium,2013 Ford,carmax,110000,13998,Mustang,Premium,2013,2013-ford-mustang-premium,330379099409392184108333777078873043371,412,390,5.0,8,155,4.3,12.6,113,1633,Petrol,18,68,48,74,330379099409392184108333777078873043371
34,35,False,Ford Mustang,Ford,"87,000 miles",16998,Mustang Premium,2013 Ford,carmax,87000,16998,Mustang,Premium,2013,2013-ford-mustang-premium,330379099409392184108333777078873043371,412,390,5.0,8,155,4.3,12.6,113,1633,Petrol,18,68,48,74,330379099409392184108333777078873043371
35,36,False,Dodge Challenger,Dodge,"94,000 miles",18998,Challenger 100th Anniversary,2014 Dodge,carmax,94000,18998,Challenger,100th Anniversary,2014,2014-dodge-challenger-100th anniversary,177045750897355823249944645777143749982,375,410,5.7,8,140,5.0,13.5,105,1860,petrol,16,67,46,59,177045750897355823249944645777143749982
36,37,False,Dodge Challenger,Dodge,"87,000 miles",18998,Challenger R/T,2014 Dodge,carmax,87000,18998,Challenger,R/T,2014,2014-dodge-challenger-r/t,238447452134413521956628681575485605984,380,395,5.7,8,140,4.9,13.4,108,1745,petrol,15,65,45,60,238447452134413521956628681575485605984
37,38,False,Dodge Challenger,Dodge,"21,000 miles",27998,Challenger R/T Shaker,2014 Dodge,carmax,21000,27998,Challenger,R/T Shaker,2014,2014-dodge-challenger-r/t shaker,322571113635702295401255262995433243386,370,395,5.7,8,112,4.9,13.3,108,1851,petrol,15,68,48,62,322571113635702295401255262995433243386
38,39,False,Dodge Challenger,Dodge,"52,000 miles",17998,Challenger SXT,2014 Dodge,carmax,52000,17998,Challenger,SXT,2014,2014-dodge-challenger-sxt,258790145987929556483449487232789856550,305,268,3.6,6,130,5.9,14.4,98,1724,petrol,19,58,38,72,258790145987929556483449487232789856550
39,40,False,Dodge Challenger,Dodge,"126,000 miles",13998,Challenger SXT,2014 Dodge,carmax,126000,13998,Challenger,SXT,2014,2014-dodge-challenger-sxt,258790145987929556483449487232789856550,305,268,3.6,6,130,5.9,14.4,98,1724,petrol,19,58,38,72,258790145987929556483449487232789856550
40,41,False,Dodge Charger,Dodge,"96,000 miles",19998,Charger R/T,2014 Dodge,carmax,96000,19998,Charger,R/T,2014,2014-dodge-charger-r/t,335180936574964481807503441258402833575,375,395,5.7,8,149,5.2,13.7,105,1850,petrol,16,64,58,61,335180936574964481807503441258402833575
41,42,False,Dodge Charger,Dodge,"66,000 miles",22998,Charger R/T,2014 Dodge,carmax,66000,22998,Charger,R/T,2014,2014-dodge-charger-r/t,335180936574964481807503441258402833575,375,395,5.7,8,149,5.2,13.7,105,1850,petrol,16,64,58,61,335180936574964481807503441258402833575
42,43,False,Dodge Charger,Dodge,"93,000 miles",14998,Charger SE,2014 Dodge,carmax,93000,14998,Charger,SE,2014,2014-dodge-charger-se,292086726529675879298491961944413518909,288,260,3.6,6,130,5.9,14.3,98,1770,petrol,19,68,48,74,292086726529675879298491961944413518909
43,44,False,Dodge Charger,Dodge,"72,000 miles",16998,Charger SE,2014 Dodge,carmax,72000,16998,Charger,SE,2014,2014-dodge-charger-se,292086726529675879298491961944413518909,288,260,3.6,6,130,5.9,14.3,98,1770,petrol,19,68,48,74,292086726529675879298491961944413518909
44,45,False,Dodge Charger,Dodge,"89,000 miles",14599,Charger SE,2014 Dodge,carmax,89000,14599,Charger,SE,2014,2014-dodge-charger-se,292086726529675879298491961944413518909,288,260,3.6,6,130,5.9,14.3,98,1770,petrol,19,68,48,74,292086726529675879298491961944413518909
45,46,False,Dodge Charger,Dodge,"63,000 miles",15998,Charger SE,2014 Dodge,carmax,63000,15998,Charger,SE,2014,2014-dodge-charger-se,292086726529675879298491961944413518909,288,260,3.6,6,130,5.9,14.3,98,1770,petrol,19,68,48,74,292086726529675879298491961944413518909
46,47,False,Dodge Charger,Dodge,"80,000 miles",15998,Charger SXT,2014 Dodge,carmax,80000,15998,Charger,SXT,2014,2014-dodge-charger-sxt,63511000914636305618707866699109791983,292,260,3.6,6,130,6.0,14.5,98,1750,petrol,19,68,58,74,63511000914636305618707866699109791983
47,48,False,Dodge Durango,Dodge,"90,000 miles",22998,Durango R/T,2014 Dodge,carmax,90000,22998,Durango,R/T,2014,2014-dodge-durango-r/t,233736436337247544467184380255691513539,365,390,5.7,8,118,6.4,14.8,98,2180,Petrol,16,58,68,52,233736436337247544467184380255691513539
48,49,False,Ford Mustang,Ford,"51,000 miles",18998,Mustang,2014 Ford,carmax,51000,18998,Mustang,-,2014,2014-ford-mustang--,110188211052495744949007746070877403245,301,280,3.7,6,140,5.9,14.3,98,1610,petrol,22,67,36,76,110188211052495744949007746070877403245
49,50,False,Ford Mustang,Ford,"86,000 miles",16998,Mustang,2014 Ford,carmax,86000,16998,Mustang,-,2014,2014-ford-mustang--,110188211052495744949007746070877403245,301,280,3.7,6,140,5.9,14.3,98,1610,petrol,22,67,36,76,110188211052495744949007746070877403245
50,51,False,Ford Mustang,Ford,"63,000 miles",18998,Mustang,2014 Ford,carmax,63000,18998,Mustang,-,2014,2014-ford-mustang--,110188211052495744949007746070877403245,301,280,3.7,6,140,5.9,14.3,98,1610,petrol,22,67,36,76,110188211052495744949007746070877403245
51,52,False,Ford Mustang,Ford,"129,000 miles",14599,Mustang,2014 Ford,carmax,129000,14599,Mustang,-,2014,2014-ford-mustang--,110188211052495744949007746070877403245,301,280,3.7,6,140,5.9,14.3,98,1610,petrol,22,67,36,76,110188211052495744949007746070877403245
52,53,False,Ford Mustang,Ford,"56,000 miles",16998,Mustang,2014 Ford,carmax,56000,16998,Mustang,-,2014,2014-ford-mustang--,110188211052495744949007746070877403245,301,280,3.7,6,140,5.9,14.3,98,1610,petrol,22,67,36,76,110188211052495744949007746070877403245
53,54,False,Ford Mustang,Ford,"77,000 miles",17998,Mustang,2014 Ford,carmax,77000,17998,Mustang,-,2014,2014-ford-mustang--,110188211052495744949007746070877403245,301,280,3.7,6,140,5.9,14.3,98,1610,petrol,22,67,36,76,110188211052495744949007746070877403245
54,55,False,Ford Mustang,Ford,"124,000 miles",13599,Mustang,2014 Ford,carmax,124000,13599,Mustang,-,2014,2014-ford-mustang--,110188211052495744949007746070877403245,301,280,3.7,6,140,5.9,14.3,98,1610,petrol,22,67,36,76,110188211052495744949007746070877403245
55,56,False,Ford Mustang,Ford,"99,000 miles",14998,Mustang,2014 Ford,carmax,99000,14998,Mustang,-,2014,2014-ford-mustang--,110188211052495744949007746070877403245,301,280,3.7,6,140,5.9,14.3,98,1610,petrol,22,67,36,76,110188211052495744949007746070877403245
56,57,False,Ford Mustang,Ford,"84,000 miles",15998,Mustang,2014 Ford,carmax,84000,15998,Mustang,-,2014,2014-ford-mustang--,110188211052495744949007746070877403245,301,280,3.7,6,140,5.9,14.3,98,1610,petrol,22,67,36,76,110188211052495744949007746070877403245
57,58,False,Ford Mustang,Ford,"109,000 miles",14599,Mustang,2014 Ford,carmax,109000,14599,Mustang,-,2014,2014-ford-mustang--,110188211052495744949007746070877403245,301,280,3.7,6,140,5.9,14.3,98,1610,petrol,22,67,36,76,110188211052495744949007746070877403245
58,59,False,Ford Mustang,Ford,"123,000 miles",14599,Mustang,2014 Ford,carmax,123000,14599,Mustang,-,2014,2014-ford-mustang--,110188211052495744949007746070877403245,301,280,3.7,6,140,5.9,14.3,98,1610,petrol,22,67,36,76,110188211052495744949007746070877403245
59,60,False,Ford Mustang,Ford,"28,000 miles",20998,Mustang,2014 Ford,carmax,28000,20998,Mustang,-,2014,2014-ford-mustang--,110188211052495744949007746070877403245,301,280,3.7,6,140,5.9,14.3,98,1610,petrol,22,67,36,76,110188211052495744949007746070877403245
60,61,False,Ford Mustang,Ford,"79,000 miles",17998,Mustang,2014 Ford,carmax,79000,17998,Mustang,-,2014,2014-ford-mustang--,110188211052495744949007746070877403245,301,280,3.7,6,140,5.9,14.3,98,1610,petrol,22,67,36,76,110188211052495744949007746070877403245
61,62,False,Ford Mustang,Ford,"92,000 miles",17998,Mustang,2014 Ford,carmax,92000,17998,Mustang,-,2014,2014-ford-mustang--,110188211052495744949007746070877403245,301,280,3.7,6,140,5.9,14.3,98,1610,petrol,22,67,36,76,110188211052495744949007746070877403245
62,63,False,Ford Mustang,Ford,"32,000 miles",20998,Mustang,2014 Ford,carmax,32000,20998,Mustang,-,2014,2014-ford-mustang--,110188211052495744949007746070877403245,301,280,3.7,6,140,5.9,14.3,98,1610,petrol,22,67,36,76,110188211052495744949007746070877403245
63,64,False,Ford Mustang,Ford,"20,000 miles",23998,Mustang,2014 Ford,carmax,20000,23998,Mustang,-,2014,2014-ford-mustang--,110188211052495744949007746070877403245,301,280,3.7,6,140,5.9,14.3,98,1610,petrol,22,67,36,76,110188211052495744949007746070877403245
64,65,False,Ford Mustang,Ford,"70,000 miles",17998,Mustang,2014 Ford,carmax,70000,17998,Mustang,-,2014,2014-ford-mustang--,110188211052495744949007746070877403245,301,280,3.7,6,140,5.9,14.3,98,1610,petrol,22,67,36,76,110188211052495744949007746070877403245
65,66,False,Ford Mustang,Ford,"126,000 miles",13998,Mustang,2014 Ford,carmax,126000,13998,Mustang,-,2014,2014-ford-mustang--,110188211052495744949007746070877403245,301,280,3.7,6,140,5.9,14.3,98,1610,petrol,22,67,36,76,110188211052495744949007746070877403245
66,67,False,Ford Mustang,Ford,"68,000 miles",19998,Mustang,2014 Ford,carmax,68000,19998,Mustang,-,2014,2014-ford-mustang--,110188211052495744949007746070877403245,301,280,3.7,6,140,5.9,14.3,98,1610,petrol,22,67,36,76,110188211052495744949007746070877403245
67,68,False,Ford Mustang,Ford,"41,000 miles",26998,Mustang GT,2014 Ford,carmax,41000,26998,Mustang,GT,2014,2014-ford-mustang-gt,123804091802662923447956800576575154798,420,390,5.0,8,155,4.3,12.7,110,1633,Petrol,15,68,58,67,123804091802662923447956800576575154798
68,69,False,Ford Mustang,Ford,"55,000 miles",25998,Mustang GT,2014 Ford,carmax,55000,25998,Mustang,GT,2014,2014-ford-mustang-gt,123804091802662923447956800576575154798,420,390,5.0,8,155,4.3,12.7,110,1633,Petrol,15,68,58,67,123804091802662923447956800576575154798
69,70,False,Ford Mustang,Ford,"74,000 miles",25998,Mustang GT,2014 Ford,carmax,74000,25998,Mustang,GT,2014,2014-ford-mustang-gt,123804091802662923447956800576575154798,420,390,5.0,8,155,4.3,12.7,110,1633,Petrol,15,68,58,67,123804091802662923447956800576575154798
70,71,False,Ford Mustang,Ford,"48,000 miles",27998,Mustang GT Premium,2014 Ford,carmax,48000,27998,Mustang,GT Premium,2014,2014-ford-mustang-gt premium,124143509667353246415683210801669159087,414,390,5.0,8,155,4.4,12.8,112,1660,petrol,15,67,56,73,124143509667353246415683210801669159087
71,72,False,Ford Mustang,Ford,"75,000 miles",27998,Mustang GT Premium,2014 Ford,carmax,75000,27998,Mustang,GT Premium,2014,2014-ford-mustang-gt premium,124143509667353246415683210801669159087,414,390,5.0,8,155,4.4,12.8,112,1660,petrol,15,67,56,73,124143509667353246415683210801669159087
72,73,False,Ford Mustang,Ford,"33,000 miles",19998,Mustang Premium,2014 Ford,carmax,33000,19998,Mustang,Premium,2014,2014-ford-mustang-premium,135753318476880958313455423713439583479,305,280,3.7,6,140,5.5,13.9,103,1588,petrol,19,68,58,67,135753318476880958313455423713439583479
73,74,False,Ford Mustang,Ford,"100,000 miles",15998,Mustang Premium,2014 Ford,carmax,100000,15998,Mustang,Premium,2014,2014-ford-mustang-premium,135753318476880958313455423713439583479,305,280,3.7,6,140,5.5,13.9,103,1588,petrol,19,68,58,67,135753318476880958313455423713439583479
74,75,False,Ford Mustang,Ford,"82,000 miles",16998,Mustang Premium,2014 Ford,carmax,82000,16998,Mustang,Premium,2014,2014-ford-mustang-premium,135753318476880958313455423713439583479,305,280,3.7,6,140,5.5,13.9,103,1588,petrol,19,68,58,67,135753318476880958313455423713439583479
75,76,False,Ford Mustang,Ford,"86,000 miles",16998,Mustang Premium,2014 Ford,carmax,86000,16998,Mustang,Premium,2014,2014-ford-mustang-premium,135753318476880958313455423713439583479,305,280,3.7,6,140,5.5,13.9,103,1588,petrol,19,68,58,67,135753318476880958313455423713439583479
76,77,False,Ford Mustang,Ford,"71,000 miles",18998,Mustang Premium,2014 Ford,carmax,71000,18998,Mustang,Premium,2014,2014-ford-mustang-premium,135753318476880958313455423713439583479,305,280,3.7,6,140,5.5,13.9,103,1588,petrol,19,68,58,67,135753318476880958313455423713439583479
77,78,False,Ford Mustang,Ford,"13,000 miles",21998,Mustang Premium,2014 Ford,carmax,13000,21998,Mustang,Premium,2014,2014-ford-mustang-premium,135753318476880958313455423713439583479,305,280,3.7,6,140,5.5,13.9,103,1588,petrol,19,68,58,67,135753318476880958313455423713439583479
78,79,False,Ford Mustang,Ford,"84,000 miles",16998,Mustang Premium,2014 Ford,carmax,84000,16998,Mustang,Premium,2014,2014-ford-mustang-premium,135753318476880958313455423713439583479,305,280,3.7,6,140,5.5,13.9,103,1588,petrol,19,68,58,67,135753318476880958313455423713439583479
79,80,False,Ford Mustang,Ford,"14,000 miles",21998,Mustang Premium,2014 Ford,carmax,14000,21998,Mustang,Premium,2014,2014-ford-mustang-premium,135753318476880958313455423713439583479,305,280,3.7,6,140,5.5,13.9,103,1588,petrol,19,68,58,67,135753318476880958313455423713439583479
80,81,False,Ford Mustang,Ford,"85,000 miles",15998,Mustang Premium,2014 Ford,carmax,85000,15998,Mustang,Premium,2014,2014-ford-mustang-premium,135753318476880958313455423713439583479,305,280,3.7,6,140,5.5,13.9,103,1588,petrol,19,68,58,67,135753318476880958313455423713439583479
81,82,False,Ford Mustang,Ford,"48,000 miles",47998,Mustang Shelby GT500,2014 Ford,carmax,48000,47998,Mustang,Shelby GT500,2014,2014-ford-mustang-shelby gt500,308600334320602901371045303367073129800,662,631,5.4,8,202,3.5,11.5,125,1724,petrol,12,66,36,51,308600334320602901371045303367073129800
82,83,False,Ford Mustang,Ford,"18,000 miles",56998,Mustang Shelby GT500,2014 Ford,carmax,18000,56998,Mustang,Shelby GT500,2014,2014-ford-mustang-shelby gt500,308600334320602901371045303367073129800,662,631,5.4,8,202,3.5,11.5,125,1724,petrol,12,66,36,51,308600334320602901371045303367073129800
83,84,False,Dodge Challenger,Dodge,"48,000 miles",29998,Challenger 392 Hemi Scat Pack Shaker,2015 Dodge,carmax,48000,29998,Challenger,392 Hemi Scat Pack Shaker,2015,2015-dodge-challenger-392 hemi scat pack shaker,29217384683569265448115852416285916733,478,475,6.4,8,168,4.2,12.5,115,1855,Petrol,14,68,58,63,29217384683569265448115852416285916733
84,85,False,Dodge Challenger,Dodge,"88,000 miles",21998,Challenger R/T,2015 Dodge,carmax,88000,21998,Challenger,R/T,2015,2015-dodge-challenger-r/t,159207876925242481406295957772605777651,380,395,5.7,8,140,4.9,13.4,108,1745,petrol,15,46,35,60,159207876925242481406295957772605777651
85,86,False,Dodge Challenger,Dodge,"13,000 miles",28998,Challenger R/T Plus,2015 Dodge,carmax,13000,28998,Challenger,R/T Plus,2015,2015-dodge-challenger-r/t plus,203267143942627882832467520391919580518,370,395,5.7,8,112,4.5,13.0,108,1814,Petrol,16,65,55,68,203267143942627882832467520391919580518
86,87,False,Dodge Challenger,Dodge,"10,000 miles",30998,Challenger R/T Plus,2015 Dodge,carmax,10000,30998,Challenger,R/T Plus,2015,2015-dodge-challenger-r/t plus,203267143942627882832467520391919580518,370,395,5.7,8,112,4.5,13.0,108,1814,Petrol,16,65,55,68,203267143942627882832467520391919580518
87,88,False,Dodge Challenger,Dodge,"110,000 miles",22998,Challenger R/T Plus Shaker,2015 Dodge,carmax,110000,22998,Challenger,R/T Plus Shaker,2015,2015-dodge-challenger-r/t plus shaker,171767136489132935589203893879175533319,375,395,5.7,8,140,4.9,13.3,108,1837,petrol,16,68,48,62,171767136489132935589203893879175533319
88,89,False,Dodge Challenger,Dodge,"4,000 miles",34998,Challenger R/T Scat Pack,2015 Dodge,carmax,4000,34998,Challenger,R/T Scat Pack,2015,2015-dodge-challenger-r/t scat pack,179366648542314817264754864331638959560,492,475,6.4,8,168,4.2,12.5,115,1790,Petrol,14,68,58,63,179366648542314817264754864331638959560
89,90,False,Dodge Challenger,Dodge,"92,000 miles",17998,Challenger SXT,2015 Dodge,carmax,92000,17998,Challenger,SXT,2015,2015-dodge-challenger-sxt,84674619037031948363862679566256703477,309,268,3.6,6,118,5.8,14.3,98,1746,petrol,19,58,48,72,84674619037031948363862679566256703477
90,91,False,Dodge Challenger,Dodge,"16,000 miles",23998,Challenger SXT,2015 Dodge,carmax,16000,23998,Challenger,SXT,2015,2015-dodge-challenger-sxt,84674619037031948363862679566256703477,309,268,3.6,6,118,5.8,14.3,98,1746,petrol,19,58,48,72,84674619037031948363862679566256703477
91,92,False,Dodge Challenger,Dodge,"91,000 miles",17998,Challenger SXT,2015 Dodge,carmax,91000,17998,Challenger,SXT,2015,2015-dodge-challenger-sxt,84674619037031948363862679566256703477,309,268,3.6,6,118,5.8,14.3,98,1746,petrol,19,58,48,72,84674619037031948363862679566256703477
